epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,944.096,0.87285,0.55865,1.05878,0.9484,0.94119,0.96806,0.74059,0.89796,0.4495,1.03882,0.000489333,0.000489333,0.000489333
105,952.958,0.85803,0.54985,1.05356,0.96018,0.94429,0.96978,0.73916,0.89905,0.443,1.03609,0.000474667,0.000474667,0.000474667
106,961.751,0.85285,0.53001,1.05149,0.96226,0.92165,0.97078,0.745,0.8859,0.44714,1.03398,0.00046,0.00046,0.00046
107,970.702,0.8677,0.55555,1.06088,0.9483,0.93916,0.97016,0.73671,0.89676,0.45895,1.0481,0.000445333,0.000445333,0.000445333
108,979.886,0.86937,0.55072,1.05894,0.95914,0.94428,0.97144,0.74136,0.89977,0.43693,1.04253,0.000430667,0.000430667,0.000430667
109,988.735,0.86233,0.55409,1.04963,0.97054,0.94256,0.97353,0.73989,0.88425,0.4378,1.03379,0.000416,0.000416,0.000416
110,997.634,0.84405,0.54981,1.05134,0.96185,0.93825,0.97171,0.74227,0.88622,0.44577,1.04081,0.000401333,0.000401333,0.000401333
111,1006.87,0.84742,0.54456,1.04823,0.95745,0.93976,0.97137,0.74562,0.88011,0.44001,1.03263,0.000386667,0.000386667,0.000386667
112,1015.74,0.85587,0.53662,1.05128,0.95861,0.94166,0.96862,0.74414,0.88969,0.44145,1.04612,0.000372,0.000372,0.000372
113,1024.62,0.84971,0.53873,1.04721,0.956,0.94899,0.9734,0.74702,0.86729,0.43727,1.02732,0.000357333,0.000357333,0.000357333
114,1033.59,0.83082,0.52277,1.04412,0.96469,0.94635,0.9709,0.74962,0.87404,0.43089,1.02953,0.000342667,0.000342667,0.000342667
115,1042.78,0.83834,0.52048,1.04387,0.96,0.94729,0.97299,0.75168,0.87145,0.42658,1.03499,0.000328,0.000328,0.000328
116,1051.53,0.84218,0.53383,1.04362,0.95415,0.94578,0.97186,0.75462,0.85148,0.42393,1.01495,0.000313333,0.000313333,0.000313333
117,1060.45,0.82871,0.53567,1.04559,0.95994,0.93832,0.97084,0.75426,0.85579,0.43644,1.0223,0.000298667,0.000298667,0.000298667
118,1069.65,0.81758,0.52304,1.03957,0.95917,0.9503,0.97619,0.76022,0.8598,0.42828,1.0163,0.000284,0.000284,0.000284
119,1078.52,0.8406,0.52435,1.04339,0.96731,0.93373,0.9741,0.75459,0.85719,0.43124,1.01798,0.000269333,0.000269333,0.000269333
120,1087.33,0.83793,0.53363,1.04259,0.95891,0.93675,0.96914,0.74975,0.86559,0.43151,1.02145,0.000254667,0.000254667,0.000254667
121,1096.19,0.82404,0.52222,1.04692,0.95291,0.93524,0.96959,0.75484,0.85358,0.43433,1.01464,0.00024,0.00024,0.00024
122,1105.34,0.81676,0.51347,1.03685,0.95003,0.94729,0.96987,0.75394,0.85273,0.42633,1.01119,0.000225333,0.000225333,0.000225333
123,1114.28,0.81288,0.5083,1.02186,0.96318,0.94557,0.97366,0.75488,0.85921,0.43329,1.02084,0.000210667,0.000210667,0.000210667
124,1123.18,0.81539,0.51742,1.0328,0.95998,0.9503,0.97515,0.76052,0.84896,0.42229,1.01799,0.000196,0.000196,0.000196
125,1132.08,0.80374,0.51122,1.03776,0.96136,0.93976,0.97078,0.75669,0.85139,0.41891,1.02409,0.000181333,0.000181333,0.000181333
126,1142.49,0.6869,0.3919,0.93533,0.94908,0.94578,0.96939,0.73837,0.86195,0.42933,1.03102,0.000166667,0.000166667,0.000166667
127,1151.33,0.66807,0.35358,0.92145,0.95883,0.93524,0.96601,0.73568,0.86936,0.42794,1.03486,0.000152,0.000152,0.000152
128,1160.05,0.66538,0.3551,0.91999,0.9501,0.94127,0.96787,0.74344,0.85732,0.42729,1.02656,0.000137333,0.000137333,0.000137333
129,1169.17,0.65532,0.33965,0.92091,0.94899,0.95256,0.96813,0.74806,0.85305,0.42972,1.02893,0.000122667,0.000122667,0.000122667
130,1177.99,0.64362,0.34147,0.91556,0.94869,0.95482,0.96946,0.75423,0.83993,0.42094,1.01398,0.000108,0.000108,0.000108
131,1186.78,0.63691,0.34175,0.9148,0.9533,0.953,0.96985,0.75701,0.83623,0.41891,1.00778,9.33333e-05,9.33333e-05,9.33333e-05
132,1195.57,0.63882,0.33225,0.91808,0.95462,0.95052,0.9685,0.76,0.834,0.41317,1.01031,7.86667e-05,7.86667e-05,7.86667e-05
133,1204.65,0.63205,0.32925,0.90677,0.95385,0.95181,0.96855,0.7585,0.83198,0.41005,1.0137,6.4e-05,6.4e-05,6.4e-05
134,1213.37,0.63727,0.32949,0.91279,0.94753,0.95191,0.96953,0.75989,0.83023,0.4082,1.01447,4.93333e-05,4.93333e-05,4.93333e-05
