epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,1095.9,1.98179,1.33373,2.19526,0.89952,0.90335,0.94593,0.68279,1.93581,1.02316,2.09036,0.000650667,0.000650667,0.000650667
94,1107.89,1.98193,1.30797,2.19959,0.9178,0.89759,0.9515,0.69516,1.96225,0.98269,2.10315,0.000636,0.000636,0.000636
95,1119.48,1.94577,1.31219,2.18806,0.92192,0.89608,0.95367,0.70028,1.90331,0.95231,2.05714,0.000621333,0.000621333,0.000621333
96,1131.02,1.94675,1.28997,2.18792,0.93513,0.89458,0.95309,0.68805,1.94761,0.99119,2.08307,0.000606667,0.000606667,0.000606667
97,1142.94,1.93776,1.30078,2.16721,0.91455,0.93524,0.95933,0.71266,1.89338,0.91151,2.06644,0.000592,0.000592,0.000592
98,1154.71,1.94444,1.28508,2.18156,0.93401,0.90211,0.95926,0.70703,1.90608,0.92029,2.09916,0.000577333,0.000577333,0.000577333
99,1166.35,1.92518,1.292,2.17416,0.92849,0.919,0.96002,0.71017,1.87028,0.90571,2.04832,0.000562667,0.000562667,0.000562667
100,1178.15,1.93911,1.28332,2.1776,0.94642,0.89759,0.96461,0.70709,1.87718,0.92242,2.06328,0.000548,0.000548,0.000548
101,1189.74,1.92414,1.25003,2.17848,0.91798,0.91019,0.95551,0.7058,1.86645,0.94861,2.05206,0.000533333,0.000533333,0.000533333
102,1201.64,1.92083,1.2579,2.1805,0.93276,0.91265,0.95764,0.70417,1.89083,0.92888,2.07598,0.000518667,0.000518667,0.000518667
103,1213.41,1.91732,1.29699,2.16986,0.93557,0.91114,0.96122,0.71327,1.85601,0.91908,2.04174,0.000504,0.000504,0.000504
104,1225.17,1.90154,1.2692,2.15721,0.94483,0.90361,0.964,0.71064,1.87339,0.90404,2.04882,0.000489333,0.000489333,0.000489333
105,1236.86,1.8309,1.22709,2.13555,0.92383,0.91329,0.9596,0.7157,1.87241,0.9105,2.04518,0.000474667,0.000474667,0.000474667
106,1248.52,1.86667,1.19562,2.14569,0.90407,0.9262,0.96065,0.70933,1.87537,0.88485,2.05875,0.00046,0.00046,0.00046
107,1260.2,1.89273,1.26184,2.15862,0.91745,0.92053,0.95964,0.7082,1.87821,0.92141,2.06189,0.000445333,0.000445333,0.000445333
108,1272.08,1.88199,1.23745,2.1602,0.93796,0.90663,0.96299,0.70642,1.87195,0.92676,2.05098,0.000430667,0.000430667,0.000430667
109,1283.81,1.87788,1.24593,2.1504,0.92051,0.92771,0.96259,0.72108,1.83589,0.8854,2.04619,0.000416,0.000416,0.000416
110,1295.33,1.84178,1.23106,2.14494,0.93213,0.89458,0.95441,0.71028,1.85958,0.9198,2.06338,0.000401333,0.000401333,0.000401333
111,1307.18,1.86106,1.21084,2.14663,0.9301,0.90663,0.95584,0.70983,1.86962,0.90875,2.07457,0.000386667,0.000386667,0.000386667
112,1318.71,1.87908,1.21832,2.1511,0.942,0.89759,0.95864,0.71252,1.85123,0.92779,2.05735,0.000372,0.000372,0.000372
113,1330.56,1.86408,1.19957,2.13005,0.94596,0.92274,0.96647,0.72522,1.84945,0.8813,2.05496,0.000357333,0.000357333,0.000357333
114,1342.19,1.82692,1.17224,2.13652,0.94457,0.89826,0.96235,0.72897,1.79924,0.84378,2.04516,0.000342667,0.000342667,0.000342667
115,1353.83,1.84479,1.15413,2.13265,0.94791,0.9006,0.96354,0.73221,1.80103,0.86246,2.03368,0.000328,0.000328,0.000328
116,1365.73,1.83349,1.18268,2.12982,0.94772,0.90094,0.96415,0.72714,1.81637,0.84163,2.05091,0.000313333,0.000313333,0.000313333
117,1377.28,1.82632,1.20312,2.14479,0.92635,0.9093,0.95981,0.7315,1.78131,0.88087,2.01961,0.000298667,0.000298667,0.000298667
118,1388.83,1.78552,1.14343,2.1178,0.95358,0.89725,0.96181,0.73395,1.75951,0.85943,2.00731,0.000284,0.000284,0.000284
119,1400.69,1.82515,1.17966,2.12574,0.95305,0.90964,0.96226,0.73052,1.78719,0.83774,2.01925,0.000269333,0.000269333,0.000269333
120,1412.41,1.81717,1.19871,2.12981,0.92476,0.92018,0.95711,0.73118,1.76683,0.84971,2.01551,0.000254667,0.000254667,0.000254667
121,1423.98,1.7989,1.15966,2.13773,0.94669,0.91416,0.95903,0.73328,1.75657,0.85073,2.0108,0.00024,0.00024,0.00024
122,1435.67,1.78693,1.13193,2.11994,0.92533,0.93312,0.96215,0.73428,1.77146,0.85849,2.00967,0.000225333,0.000225333,0.000225333
123,1447.22,1.77178,1.11696,2.08524,0.93675,0.91446,0.9602,0.73353,1.76918,0.86561,2.01365,0.000210667,0.000210667,0.000210667
124,1459.15,1.75573,1.14066,2.10273,0.93609,0.92641,0.96394,0.73643,1.77047,0.85232,2.02047,0.000196,0.000196,0.000196
125,1470.71,1.73553,1.14694,2.10988,0.93422,0.91975,0.96231,0.73726,1.75454,0.84034,2.01996,0.000181333,0.000181333,0.000181333
126,1483.58,1.48289,0.83378,1.90574,0.95673,0.88253,0.96026,0.7252,1.79662,0.87318,2.04518,0.000166667,0.000166667,0.000166667
127,1495.42,1.47063,0.72337,1.89024,0.92143,0.91566,0.95943,0.73138,1.77191,0.86596,2.03844,0.000152,0.000152,0.000152
128,1506.86,1.45181,0.72464,1.88426,0.92988,0.89868,0.96016,0.72714,1.76041,0.86673,2.03407,0.000137333,0.000137333,0.000137333
129,1518.3,1.44102,0.68757,1.87957,0.94194,0.91416,0.961,0.73552,1.74521,0.85348,2.02624,0.000122667,0.000122667,0.000122667
130,1529.91,1.39856,0.68107,1.86474,0.93762,0.90543,0.96218,0.73898,1.74085,0.84011,2.01548,0.000108,0.000108,0.000108
131,1541.28,1.39549,0.68264,1.87268,0.94459,0.90512,0.96297,0.73994,1.71912,0.83326,2.00024,9.33333e-05,9.33333e-05,9.33333e-05
132,1552.98,1.42087,0.66926,1.87657,0.93802,0.90663,0.96408,0.74034,1.71348,0.83535,2.006,7.86667e-05,7.86667e-05,7.86667e-05
133,1564.51,1.39342,0.6566,1.85232,0.95471,0.88891,0.9639,0.74382,1.71764,0.83321,2.00551,6.4e-05,6.4e-05,6.4e-05
134,1575.88,1.37926,0.67281,1.85793,0.94604,0.89458,0.96441,0.74423,1.71173,0.83736,2.00549,4.93333e-05,4.93333e-05,4.93333e-05
135,1587.51,1.36714,0.65347,1.85488,0.93234,0.91114,0.96294,0.74543,1.71122,0.83023,2.00558,3.46667e-05,3.46667e-05,3.46667e-05
